,location,total_sqft,bath,price,bhk
2207,7th Phase JP Nagar,1075.0,2.0,42.99,2.0
2210,Basavangudi,1500.0,2.0,143.0,3.0
2211,other,1010.0,2.0,46.0,2.0
2212,Haralur Road,1875.0,3.0,110.0,3.0
2214,Kanakpura Road,983.0,2.0,50.6,2.0
2215,Kasturi Nagar,1101.0,2.0,65.0,2.0
2216,other,1140.0,2.0,76.0,2.0
2218,Kengeri Satellite Town,1007.0,2.0,42.0,2.0
2219,Bellandur,2039.0,3.0,168.0,3.0
2221,other,1198.0,2.0,84.0,2.0
2223,other,1470.0,4.0,34.5,4.0
2224,other,1370.0,2.0,75.0,2.0
2225,other,1316.0,2.0,55.5,2.0
2226,Kaggadasapura,1350.0,3.0,55.5,3.0
2227,other,1050.0,2.0,43.0,2.0
2228,KR Puram,1128.76,3.0,47.405,3.0
2229,Electronic City,921.0,2.0,34.0,2.0
2230,Kundalahalli,1010.0,2.0,49.27,2.0
2231,KR Puram,1015.0,2.0,43.0,2.0
2232,TC Palaya,1200.0,2.0,66.5,3.0
2233,Lakshminarayana Pura,1179.0,2.0,75.0,2.0
2234,Anjanapura,1850.0,4.0,86.0,4.0
2235,Kammasandra,870.0,2.0,24.0,2.0
2236,Bellandur,1605.0,3.0,85.0,3.0
2237,Banashankari Stage VI,2800.0,4.0,89.0,4.0
2240,other,2400.0,7.0,110.0,6.0
2241,other,1000.0,1.0,55.0,2.0
2242,Ramamurthy Nagar,1200.0,2.0,80.0,2.0
2244,Kammasandra,1200.0,2.0,66.0,2.0
2245,other,1200.0,2.0,50.0,2.0
2246,Hennur,1255.0,2.0,57.5,2.0
2247,Hosur Road,1085.0,2.0,30.38,2.0
2248,Kanakpura Road,1592.0,3.0,125.0,3.0
2249,other,1313.0,2.0,58.27,2.0
2250,Kogilu,1934.0,3.0,150.0,3.0
2251,Harlur,1200.0,2.0,49.5,2.0
2252,Uttarahalli,3600.0,6.0,120.0,6.0
2253,Old Madras Road,935.0,2.0,45.0,2.0
2254,Bommasandra,877.0,2.0,30.0,2.0
2255,other,936.0,2.0,42.0,2.0
2256,Nagasandra,1470.0,2.0,110.0,3.0
2257,other,1050.0,1.0,70.0,1.0
2258,Hennur Road,1232.0,2.0,69.61,2.0
2259,Ambedkar Nagar,2225.0,4.0,169.0,3.0
2260,other,1200.0,2.0,80.0,3.0
2261,Dasarahalli,1901.0,3.0,119.0,3.0
2262,Sarjapur  Road,1819.0,3.0,100.0,3.0
2263,other,1464.0,3.0,56.0,3.0
2265,Old Madras Road,3715.0,6.0,200.5,4.0
2266,9th Phase JP Nagar,5000.0,4.0,290.0,4.0
2268,other,1256.0,2.0,60.0,2.0
2269,7th Phase JP Nagar,1100.0,2.0,44.0,2.0
2270,TC Palaya,4800.0,3.0,302.0,4.0
2271,Kothanur,1435.0,3.0,70.0,3.0
2272,6th Phase JP Nagar,3245.0,4.0,250.0,4.0
2273,Sarjapur  Road,1845.0,4.0,110.0,3.0
2274,Jigani,2400.0,4.0,130.0,3.0
2275,HSR Layout,1140.0,2.0,46.0,2.0
2276,Ulsoor,1200.0,2.0,60.0,2.0
2277,Talaghattapura,2254.0,3.0,170.0,3.0
2278,Frazer Town,1750.0,3.0,150.0,3.0
2279,other,1020.0,2.0,37.0,2.0
2280,Bommanahalli,515.0,1.0,25.0,1.0
2281,Lingadheeranahalli,1893.0,3.0,140.0,3.0
2283,other,830.0,2.0,34.0,2.0
2284,Singasandra,600.0,2.0,36.5,2.0
2285,Bisuvanahalli,1075.0,2.0,90.0,3.0
2287,Kasavanhalli,1200.0,2.0,78.0,2.0
2288,Sarjapur  Road,1233.0,2.0,77.65,2.0
2289,Bannerghatta Road,1255.0,2.0,65.26,2.0
2290,Begur Road,1200.0,2.0,37.8,2.0
2291,Varthur,2145.0,3.0,175.0,3.0
2292,1st Phase JP Nagar,1500.0,5.0,85.0,5.0
2293,Kothannur,740.0,2.0,34.0,2.0
2294,Kengeri,1250.0,3.0,48.0,3.0
2295,other,1210.0,2.0,40.0,2.0
2296,Sarjapur  Road,1525.0,2.0,60.0,3.0
2297,Kogilu,540.0,1.0,36.0,1.0
2298,Tumkur Road,1240.0,2.0,84.0,3.0
2299,Subramanyapura,1245.0,2.0,68.0,3.0
2301,Hosa Road,1104.0,2.0,36.43,2.0
2302,Bisuvanahalli,1075.0,2.0,35.99,3.0
2303,Nagavara,2200.0,2.0,55.0,2.0
2304,Whitefield,1155.0,2.0,60.0,2.0
2305,other,1520.0,2.0,62.0,2.0
2306,Thigalarapalya,3122.0,6.0,245.0,4.0
2307,Harlur,1290.0,2.0,85.0,2.0
2308,other,2300.0,3.0,80.0,3.0
2309,Kannamangala,3000.0,4.0,200.0,4.0
2311,other,400.0,1.0,14.0,1.0
2312,Banashankari,1340.0,2.0,53.6,3.0
2315,Hennur Road,987.0,2.0,49.0,2.0
2316,Old Madras Road,1720.0,3.0,100.0,3.0
2317,Hebbal,1040.0,2.0,50.0,2.0
2318,Anandapura,900.0,2.0,64.0,2.0
2319,Raja Rajeshwari Nagar,1030.0,2.0,50.0,2.0
2320,Neeladri Nagar,2556.0,3.0,133.0,3.0
2321,Basavangudi,1850.0,3.0,168.0,3.0
2323,Balagere,1028.0,2.0,31.86,2.0
2324,7th Phase JP Nagar,1270.0,2.0,83.0,2.0
2325,Sahakara Nagar,1655.0,3.0,115.0,3.0
2326,Electronics City Phase 1,940.0,2.0,40.0,2.0
2327,Domlur,1050.0,2.0,85.0,2.0
2329,other,946.0,2.0,38.0,2.0
2330,CV Raman Nagar,1726.0,3.0,145.0,3.0
2332,Vittasandra,1404.0,2.0,75.0,2.0
2333,Sarjapur,1525.0,2.0,48.0,3.0
2334,Kengeri,1025.0,2.0,57.0,2.0
2335,other,1575.0,4.0,150.0,5.0
2336,other,860.0,1.0,43.0,2.0
2337,Talaghattapura,1223.0,2.0,42.81,3.0
2339,Kothannur,1197.0,2.0,47.8,2.0
2340,Garudachar Palya,1150.0,2.0,52.75,2.0
2342,R.T. Nagar,1040.0,2.0,46.0,2.0
2343,Banashankari,1310.0,2.0,80.0,2.0
2344,Uttarahalli,1788.0,3.0,98.34,3.0
2345,Raja Rajeshwari Nagar,1144.0,2.0,38.55,2.0
2346,Anjanapura,1070.0,2.0,39.0,2.0
2347,other,1200.0,2.0,70.0,2.0
2348,Ambedkar Nagar,1862.0,3.0,120.0,3.0
2349,Margondanahalli,1200.0,2.0,58.5,2.0
2350,Begur Road,970.0,2.0,27.0,2.0
2351,Kasavanhalli,1646.0,3.0,79.5,3.0
2352,Sarjapur  Road,4395.0,4.0,242.0,4.0
2354,Iblur Village,1995.0,3.0,135.0,3.0
2356,Hosakerehalli,1085.0,2.0,47.74,2.0
2357,Budigere,1139.0,2.0,56.8,2.0
2358,Haralur Road,1092.0,2.0,44.0,2.0
2359,Pattandur Agrahara,1767.0,3.0,98.0,3.0
2360,other,1700.0,3.0,80.0,3.0
2361,Bellandur,1692.0,3.0,88.0,3.0
2362,6th Phase JP Nagar,1645.0,3.0,100.0,3.0
2363,Uttarahalli,1345.0,2.0,57.0,3.0
2364,other,1100.0,2.0,60.0,2.0
2365,Gollarapalya Hosahalli,1408.0,3.0,62.0,3.0
2366,Banashankari Stage III,2400.0,4.0,240.0,4.0
2367,Kadugodi,1920.0,4.0,200.0,4.0
2368,other,6040.0,4.0,170.0,5.0
2369,Thigalarapalya,2072.0,4.0,150.0,3.0
2371,Electronics City Phase 1,2040.0,3.0,137.0,3.0
2372,Sarjapur  Road,1220.0,3.0,56.0,3.0
2374,other,1300.0,2.0,79.0,2.0
2375,Electronics City Phase 1,1150.0,2.0,39.0,2.0
2376,KR Puram,1470.0,2.0,86.0,2.0
2377,Hosa Road,1063.0,2.0,31.9,2.0
2378,other,1311.0,2.0,48.0,2.0
2379,other,3500.0,4.0,350.0,4.0
2381,other,1400.0,2.0,55.0,3.0
2382,Kanakpura Road,2200.0,2.0,62.0,2.0
2383,Thanisandra,1430.0,2.0,56.0,3.0
2384,Vidyaranyapura,1060.0,2.0,55.0,2.0
2386,Sector 7 HSR Layout,1760.0,3.0,145.0,3.0
2387,Whitefield,2010.0,3.0,92.0,3.0
2388,Kanakpura Road,1480.0,2.0,64.23,3.0
2389,8th Phase JP Nagar,1230.0,2.0,43.5,3.0
2390,Gottigere,1300.0,3.0,65.0,3.0
2392,Frazer Town,4850.0,6.0,385.0,4.0
2393,Singasandra,1100.0,2.0,52.0,2.0
2394,Harlur,1752.12,3.0,116.0,3.0
2395,Marathahalli,957.0,2.0,46.9,2.0
2396,Balagere,790.5,1.0,41.9,1.0
2397,other,1942.0,3.0,102.0,3.0
2398,other,1000.0,2.0,53.0,2.0
2399,Yeshwanthpur,668.0,1.0,36.85,1.0
2402,Uttarahalli,1089.0,2.0,43.55,2.0
2403,Thanisandra,1800.0,3.0,90.0,3.0
2404,Yelahanka New Town,960.0,2.0,18.0,1.0
2405,Yelahanka,1036.0,2.0,39.35,2.0
2406,Marathahalli,1583.0,3.0,105.0,3.0
2407,7th Phase JP Nagar,3300.0,4.0,150.0,4.0
2408,Padmanabhanagar,1100.0,2.0,65.0,2.0
2410,Vittasandra,1246.0,2.0,65.0,2.0
2411,Dodda Nekkundi,850.0,2.0,28.0,2.0
2412,Raja Rajeshwari Nagar,1196.0,2.0,51.51,2.0
2413,Thanisandra,1697.0,3.0,114.0,3.0
2414,TC Palaya,1000.0,2.0,64.0,2.0
2415,HRBR Layout,1567.0,3.0,90.0,3.0
2416,Anekal,1200.0,1.0,36.0,2.0
2417,Sarjapur  Road,3750.0,6.0,290.0,4.0
2418,other,950.0,2.0,45.0,2.0
2419,other,1022.0,2.0,52.0,2.0
2420,Kammasandra,1018.0,2.0,23.45,2.0
2421,other,2000.0,3.0,25.0,4.0
2422,Bharathi Nagar,1322.0,2.0,68.0,2.0
2423,Marsur,1800.0,4.0,145.0,4.0
2424,Doddakallasandra,1460.0,2.0,58.39,3.0
2425,other,990.0,2.0,44.55,2.0
2427,Whitefield,1635.0,2.0,85.0,3.0
2429,Padmanabhanagar,3400.0,3.0,210.0,4.0
2431,EPIP Zone,3035.0,5.0,200.0,4.0
2432,other,1533.0,3.0,85.0,3.0
2433,Akshaya Nagar,1720.0,3.0,134.0,3.0
2434,Frazer Town,2000.0,3.0,200.0,3.0
2435,Yeshwanthpur,1185.0,2.0,75.84,2.0
2436,Varthur Road,900.0,2.0,27.0,2.0
2437,Attibele,395.0,1.0,10.25,1.0
2438,Electronic City Phase II,1031.0,2.0,56.35,2.0
2440,Thanisandra,2650.0,4.0,240.0,4.0
2442,Uttarahalli,1330.0,2.0,46.55,3.0
2443,Hennur,1259.0,2.0,57.0,2.0
2444,Raja Rajeshwari Nagar,1570.0,3.0,88.0,3.0
2445,Bisuvanahalli,1075.0,2.0,36.0,3.0
2446,Whitefield,1216.0,2.0,79.0,2.0
2447,Sarjapur  Road,1428.0,2.0,66.0,3.0
2448,Begur Road,1160.0,2.0,40.59,2.0
2450,other,1475.0,3.0,70.0,3.0
2451,Harlur,1754.0,3.0,135.0,3.0
2452,Rayasandra,1639.0,3.0,83.0,3.0
2453,Hennur Road,1804.0,3.0,102.0,3.0
2454,Whitefield,1200.0,3.0,56.2,3.0
2455,other,1135.0,2.0,55.0,2.0
2456,Begur Road,1260.0,2.0,46.62,2.0
2458,Hennur Road,2160.0,3.0,160.0,3.0
2460,Rachenahalli,1220.0,2.0,59.5,2.0
2461,Margondanahalli,1200.0,2.0,67.0,2.0
2462,Yelahanka,1300.0,2.0,65.0,2.0
2463,Cox Town,605.0,1.0,29.0,1.0
2465,Bhoganhalli,1444.0,2.0,75.97,2.0
2466,Amruthahalli,924.0,2.0,45.0,2.0
2467,Kaikondrahalli,1000.0,2.0,30.0,2.0
2470,Bisuvanahalli,845.0,2.0,29.0,2.0
2471,Kanakpura Road,700.0,2.0,35.0,2.0
2472,Kothanur,1187.0,2.0,58.0,2.0
2473,Kaggadasapura,1625.0,3.0,55.0,3.0
2474,Devarachikkanahalli,1200.0,2.0,83.0,2.0
2475,other,1452.55,2.0,110.0,2.0
2476,other,2357.0,3.0,151.0,3.0
2477,Kaval Byrasandra,1200.0,2.0,49.5,2.0
2478,Budigere,1139.0,2.0,56.85,2.0
2480,Kanakpura Road,1660.0,3.0,75.0,3.0
2482,Somasundara Palya,1448.0,2.0,68.0,2.0
2483,Kadugodi,1762.0,3.0,110.0,3.0
2484,Kaggadasapura,1105.0,2.0,38.65,2.0
2485,Yelahanka,1825.0,3.0,105.0,3.0
2488,Thanisandra,1185.0,2.0,43.0,2.0
2489,Electronic City Phase II,1320.0,2.0,38.12,3.0
2490,Hulimavu,1058.0,2.0,48.0,2.0
2491,Bellandur,1220.0,2.0,60.0,2.0
2492,Sarjapur,925.0,2.0,25.0,2.0
2493,Old Madras Road,1200.0,2.0,72.0,2.0
2494,Kengeri,1160.0,2.0,40.6,3.0
2496,other,1411.0,3.0,91.72,3.0
2497,Bannerghatta Road,1550.0,3.0,78.0,3.0
2498,Green Glen Layout,3250.0,4.0,230.0,4.0
2499,Haralur Road,2475.0,4.0,130.0,3.0
2500,Jakkur,3181.0,2.0,260.5,4.0
2501,7th Phase JP Nagar,2503.0,4.0,188.0,4.0
2502,Marathahalli,2524.0,5.0,190.0,4.0
2503,Kaggadasapura,1063.0,2.0,42.0,2.0
2504,Kanakpura Road,1077.0,2.0,37.7,2.0
2505,other,1200.0,3.0,44.0,2.0
2506,Hosakerehalli,1500.0,3.0,70.0,4.0
2507,Jalahalli,1045.0,2.0,76.77,2.0
2508,Kanakapura,1290.0,2.0,45.15,3.0
2509,Hoodi,1400.0,2.0,78.0,2.0
2510,Begur Road,1600.0,3.0,58.14,3.0
2512,Nagavara,1545.0,2.0,58.0,3.0
2513,Sarjapur  Road,1680.0,3.0,112.0,3.0
2514,other,1350.0,2.0,67.5,2.0
2515,Gottigere,950.0,2.0,38.0,2.0
2516,Thanisandra,1050.0,2.0,45.0,2.0
2517,Banashankari Stage V,1305.0,2.0,49.0,3.0
2519,Kodichikkanahalli,2700.0,7.0,125.0,5.0
2520,other,1100.0,3.0,78.0,3.0
2521,Thanisandra,3500.0,5.0,160.0,6.0
2522,Begur Road,1634.0,3.0,83.33,3.0
2523,Prithvi Layout,1352.0,2.0,85.0,2.0
2524,Balagere,1145.0,2.0,65.0,2.0
2525,other,1240.0,2.0,43.79,2.0
2526,7th Phase JP Nagar,2200.0,3.0,190.0,3.0
2527,Bommasandra Industrial Area,1020.0,2.0,39.0,2.0
2528,other,3600.0,4.0,365.0,4.0
2529,Raja Rajeshwari Nagar,1168.0,2.0,61.0,2.0
2530,Electronic City Phase II,1205.0,2.0,75.0,2.0
2532,CV Raman Nagar,1028.0,2.0,49.0,2.0
2533,other,1175.0,2.0,48.27,2.0
2534,Pai Layout,1550.0,2.0,90.0,3.0
2535,Yeshwanthpur,1826.0,3.0,165.0,3.0
2536,Hoodi,2400.0,5.0,160.0,5.0
2537,Yelahanka,1603.0,3.0,96.0,3.0
2538,Marathahalli,1350.0,3.0,72.0,3.0
2539,KR Puram,714.0,1.0,28.0,1.0
2540,Whitefield,1215.0,2.0,65.0,2.0
2541,Malleshpalya,1405.0,2.0,77.0,3.0
2542,KR Puram,1142.0,2.0,51.0,2.0
2543,other,4000.0,4.0,170.0,4.0
2544,Whitefield,1870.0,3.0,90.0,3.0
2545,Subramanyapura,1313.0,2.0,73.0,2.0
2546,other,1945.0,3.0,120.0,3.0
2547,Thanisandra,1573.0,3.0,95.0,3.0
2548,Sarjapur  Road,1255.0,2.0,92.0,2.0
2549,Benson Town,1400.0,3.0,91.15,4.0
2550,Kannamangala,1235.0,2.0,43.63,2.0
2551,Sarjapur  Road,1380.0,2.0,52.0,3.0
2553,Vittasandra,1238.0,2.0,67.0,2.0
2554,other,1465.0,2.0,74.72,3.0
2555,Thigalarapalya,1418.0,2.0,103.0,2.0
2556,other,1650.0,3.0,165.0,3.0
2557,Anekal,351.0,1.0,16.0,1.0
2558,Uttarahalli,1279.0,2.0,48.0,2.0
2561,Hebbal,2526.0,2.0,250.0,3.0
2562,other,1550.0,2.0,150.0,3.0
2564,Uttarahalli,1845.0,2.0,68.27,3.0
2565,other,1360.0,2.0,59.27,3.0
2566,other,1150.0,2.0,75.0,3.0
2567,Whitefield,1260.0,2.0,49.5,2.0
2568,other,1200.0,3.0,74.0,3.0
2569,Dasanapura,965.0,2.0,42.5,2.0
2570,Hoodi,1350.0,2.0,48.0,3.0
2571,Bhoganhalli,1447.0,2.0,75.97,2.0
2572,other,1229.0,3.0,86.03,3.0
2573,Kudlu,1027.0,2.0,43.0,2.0
2574,Gottigere,1153.0,2.0,48.5,2.0
2575,Whitefield,2856.0,5.0,145.5,4.0
2576,Malleshpalya,1065.0,2.0,50.0,2.0
2577,other,1030.0,2.0,61.0,2.0
2578,Mallasandra,1340.0,2.0,61.0,2.0
2579,Marathahalli,4000.0,5.0,212.0,4.0
2580,other,600.0,1.0,32.0,1.0
2581,Begur Road,1410.0,2.0,44.42,3.0
2582,Varthur,1055.0,2.0,45.35,2.0
2583,Yelahanka,1304.0,2.0,79.0,2.0
2585,Kammasandra,990.0,2.0,31.5,2.0
2586,7th Phase JP Nagar,1035.0,2.0,39.33,2.0
2587,Tumkur Road,700.0,1.0,30.09,1.0
2588,Sonnenahalli,1120.0,2.0,43.0,2.0
2589,Haralur Road,1300.0,2.0,73.0,2.0
2590,Tumkur Road,1239.0,2.0,82.0,2.0
2591,Sarjapur  Road,1403.0,3.0,51.63,3.0
2592,Hosa Road,1365.0,2.0,92.0,2.0
2594,Subramanyapura,1130.0,2.0,45.19,3.0
2595,Green Glen Layout,1776.42,3.0,105.0,3.0
2597,Haralur Road,1194.0,2.0,47.0,2.0
2598,other,1107.0,2.0,33.0,2.0
2599,Nagavara,2319.0,3.0,180.0,3.0
2600,other,1520.0,3.0,80.0,3.0
2601,Kannamangala,1536.0,3.0,89.0,3.0
2602,other,3000.0,4.0,240.0,4.0
2603,other,1050.0,2.0,38.0,2.0
2604,Hoodi,1850.0,3.0,146.0,3.0
2605,Billekahalli,1112.0,2.0,62.0,2.0
2606,Marathahalli,1535.0,3.0,72.5,3.0
2607,Kanakpura Road,1050.0,2.0,35.0,2.0
2609,7th Phase JP Nagar,1250.0,3.0,65.0,3.0
2610,Kalena Agrahara,1187.0,2.0,52.0,2.0
2611,9th Phase JP Nagar,1164.0,2.0,56.0,2.0
2612,Electronic City Phase II,1395.0,2.0,62.78,3.0
2613,Arekere,2072.0,3.0,108.0,3.0
2614,Kanakpura Road,1450.0,3.0,60.91,3.0
2615,Bannerghatta Road,1550.0,3.0,82.0,3.0
2616,other,1315.0,2.0,90.0,2.0
2617,Hebbal,3067.0,4.0,230.0,4.0
2618,other,1210.0,2.0,72.0,2.0
2619,Bisuvanahalli,1075.0,2.0,47.0,3.0
2620,other,11338.0,9.0,1000.0,6.0
2621,other,1215.0,3.0,42.2,3.0
2622,Kaggadasapura,1470.0,2.0,75.0,3.0
2623,other,30000.0,4.0,2100.0,4.0
2624,Hosur Road,1590.0,2.0,125.0,3.0
2625,Kanakpura Road,1050.0,2.0,36.75,2.0
2626,Raja Rajeshwari Nagar,1306.0,2.0,55.91,2.0
2628,other,1445.0,3.0,64.0,3.0
2629,Sarjapur  Road,1220.0,3.0,58.0,3.0
2630,Sarjapur,3190.0,3.0,160.0,4.0
2631,Ramagondanahalli,1215.0,2.0,51.26,2.0
2632,Budigere,1920.0,2.0,88.0,3.0
2633,Dodda Nekkundi,1390.0,2.0,60.0,2.0
2636,Hoodi,1196.0,2.0,71.74,2.0
2637,Bannerghatta Road,1550.0,2.0,75.0,3.0
2638,Thigalarapalya,1418.0,2.0,101.0,2.0
2639,Varthur Road,1655.0,3.0,115.0,3.0
2640,KR Puram,1115.0,2.0,33.45,2.0
2641,other,1170.0,2.0,68.0,2.0
2642,Anekal,1035.0,2.0,38.3,2.0
2643,Singasandra,1306.0,2.0,58.0,3.0
2644,Kengeri,750.0,2.0,22.0,2.0
2645,Thanisandra,1917.0,3.0,122.0,3.0
2646,Kaggadasapura,1615.0,3.0,58.0,3.0
2647,Marathahalli,1071.0,2.0,52.25,2.0
2650,5th Phase JP Nagar,1400.0,2.0,88.0,3.0
2651,Tumkur Road,1246.0,2.0,82.0,2.0
2652,Sarjapur,1215.0,2.0,40.0,2.0
2653,Munnekollal,1200.0,2.0,49.5,2.0
2655,Kodigehaali,1200.0,2.0,60.0,2.0
2656,Kaval Byrasandra,945.0,2.0,50.0,2.0
2658,Hormavu,1175.0,2.0,52.0,2.0
2659,Whitefield,920.0,2.0,63.0,2.0
2661,other,1600.0,2.0,110.0,2.0
2664,other,955.0,1.0,34.01,2.0
2665,Ardendale,1750.0,3.0,100.0,3.0
2666,Uttarahalli,1425.0,2.0,64.0,3.0
2668,Whitefield,1165.0,2.0,40.5,2.0
2669,Kaggadasapura,1050.0,2.0,48.0,2.0
2670,other,1370.0,2.0,75.0,3.0
2671,Electronic City,1374.0,2.0,72.0,3.0
2672,Harlur,1754.0,3.0,124.0,3.0
2673,Kothanur,1847.0,3.0,110.0,3.0
2674,Ambedkar Nagar,1850.0,4.0,139.0,3.0
2675,Chikka Tirupathi,3297.0,3.0,135.0,3.0
2676,other,1187.0,2.0,45.0,2.0
2677,Bommasandra Industrial Area,1400.0,2.0,40.44,3.0
2680,Doddaballapur,3000.0,2.0,120.0,3.0
2681,Thanisandra,693.0,1.0,34.3,1.0
2683,KR Puram,1021.0,2.0,48.0,2.0
2684,Thigalarapalya,1165.0,2.0,95.0,2.0
2685,Horamavu Agara,1756.0,3.0,92.0,3.0
2686,Bharathi Nagar,1739.0,3.0,105.0,3.0
2687,Varthur,1280.0,2.0,65.0,2.0
2688,Marathahalli,1215.0,2.0,58.86,2.0
2689,Munnekollal,950.0,2.0,46.5,2.0
2690,Kengeri,1082.0,2.0,49.0,3.0
2691,7th Phase JP Nagar,1050.0,2.0,42.0,2.0
2692,Devanahalli,1080.0,2.0,53.35,2.0
2693,Arekere,1100.0,2.0,55.0,2.0
2694,Ardendale,3200.0,4.0,205.0,4.0
2695,Sarjapur  Road,1311.0,2.0,78.0,2.0
2696,Raja Rajeshwari Nagar,1608.0,3.0,67.98,3.0
2697,Begur Road,1160.0,2.0,36.0,2.0
2698,Whitefield,1170.0,2.0,71.0,2.0
2699,Kengeri,1155.0,2.0,40.6,2.0
2700,Hebbal,1255.0,2.0,77.68,3.0
2701,Rayasandra,1065.0,2.0,44.95,2.0
2702,Neeladri Nagar,674.0,1.0,21.0,1.0
2703,Ambedkar Nagar,1936.0,4.0,126.0,3.0
2705,other,1100.0,2.0,38.45,2.0
2706,Ramagondanahalli,2257.0,4.0,157.0,3.0
2707,Nagarbhavi,1055.0,2.0,55.0,2.0
2708,Raja Rajeshwari Nagar,1530.0,3.0,51.87,3.0
2709,other,1700.0,3.0,97.0,3.0
2710,Raja Rajeshwari Nagar,1575.0,2.0,78.0,3.0
2711,Frazer Town,3500.0,4.0,330.0,3.0
2712,Rajiv Nagar,1263.0,2.0,93.32,2.0
2713,KR Puram,1559.0,3.0,69.315,3.0
2714,Kengeri Satellite Town,1043.0,2.0,65.0,2.0
2715,Hennur,1255.0,2.0,53.5,2.0
2716,JP Nagar,1352.5,2.0,93.865,2.0
2717,Chandapura,590.0,1.0,13.57,1.0
2718,Yelahanka,1550.0,3.0,120.0,3.0
2719,Sarjapur  Road,1220.0,3.0,56.0,3.0
2720,other,1900.0,3.0,160.0,3.0
2721,other,1360.0,3.0,55.0,3.0
2722,other,1100.0,2.0,75.0,2.0
2723,8th Phase JP Nagar,1455.0,3.0,73.31,3.0
2724,KR Puram,1035.0,2.0,40.5,2.0
2725,Harlur,1152.0,2.0,69.0,2.0
2726,Bellandur,1299.0,2.0,82.0,2.0
2727,Sarjapur  Road,1157.0,2.0,75.0,3.0
2728,Rachenahalli,1050.0,2.0,52.5,2.0
2729,Pai Layout,1050.0,2.0,40.0,2.0
2730,Vittasandra,1246.0,2.0,67.4,2.0
2731,other,1929.0,3.0,115.0,3.0
2732,Hennur,1285.0,2.0,60.0,2.0
2733,Margondanahalli,1200.0,2.0,65.0,3.0
2734,other,3161.0,4.0,214.0,4.0
2735,BTM 2nd Stage,1850.0,3.0,170.0,3.0
2736,Sompura,1025.0,2.0,37.0,3.0
2737,Malleshwaram,1124.0,3.0,80.0,2.0
2738,Balagere,1012.0,2.0,54.59,2.0
2739,Giri Nagar,4500.0,5.0,250.0,7.0
2740,8th Phase JP Nagar,871.0,2.0,55.0,2.0
2741,other,1020.0,2.0,40.0,2.0
2742,Rachenahalli,1550.0,3.0,73.5,3.0
2744,Akshaya Nagar,1410.0,2.0,80.0,3.0
2745,Chikka Tirupathi,3500.0,5.0,150.0,4.0
2746,Whitefield,1118.0,2.0,75.0,2.0
2747,Thanisandra,1098.0,2.0,68.0,2.0
2748,Kanakapura,1130.0,2.0,45.2,2.0
2749,Sarjapur  Road,1145.0,2.0,75.0,2.0
2750,Kadugodi,950.0,3.0,80.0,3.0
2751,other,1051.0,2.0,33.0,2.0
2753,Marathahalli,1102.0,2.0,53.67,2.0
2755,Chandapura,645.0,1.0,16.45,1.0
2756,Hebbal,823.0,2.0,50.63,2.0
2757,Abbigere,880.0,2.0,35.0,2.0
2759,Budigere,1991.0,4.0,100.0,3.0
2760,TC Palaya,1100.0,3.0,50.0,3.0
2761,Gubbalala,1745.0,3.0,115.0,3.0
2764,other,1100.0,2.0,70.0,2.0
2766,5th Phase JP Nagar,1450.0,2.0,58.0,2.0
2767,Singasandra,3366.0,4.0,120.0,4.0
2768,Sahakara Nagar,1150.0,2.0,54.0,2.0
2769,Kanakpura Road,1843.0,3.0,95.84,3.0
2770,Banashankari Stage VI,2200.0,4.0,195.0,4.0
2771,Bommanahalli,1090.0,3.0,44.0,2.0
2772,Kaggadasapura,1132.0,2.0,42.0,2.0
2773,Hulimavu,1375.0,2.0,80.0,2.0
2775,Thanisandra,760.0,1.0,50.3,1.0
2776,Kaggadasapura,1180.0,2.0,65.0,2.0
2777,Jigani,918.0,2.0,45.0,2.0
2779,Margondanahalli,1200.0,1.0,53.0,2.0
2780,HSR Layout,1372.0,2.0,61.0,2.0
2782,Ardendale,1728.0,3.0,95.0,3.0
2784,BTM 2nd Stage,1200.0,2.0,80.0,2.0
2785,6th Phase JP Nagar,1280.0,2.0,56.0,2.0
2787,other,1455.0,2.0,56.0,3.0
2788,Rachenahalli,440.0,1.0,28.0,1.0
2789,Kanakpura Road,1500.0,3.0,97.0,3.0
2790,Whitefield,1800.0,3.0,110.0,3.0
2791,Mysore Road,1525.0,3.0,96.0,3.0
2792,Rachenahalli,1204.0,2.0,38.5,2.0
2793,Old Madras Road,1225.0,2.0,53.55,2.0
2795,Bannerghatta Road,1650.0,3.0,122.0,3.0
2797,other,4200.0,4.0,255.0,4.0
2798,other,1200.0,2.0,55.0,2.0
2800,9th Phase JP Nagar,1005.0,2.0,42.0,2.0
2801,Whitefield,1562.0,3.0,103.0,3.0
2802,Devanahalli,5000.0,5.0,395.0,4.0
2804,Ramamurthy Nagar,1200.0,2.0,42.0,2.0
2805,Kasavanhalli,1555.0,3.0,82.5,3.0
2806,KR Puram,1550.0,2.0,71.0,2.0
2807,Whitefield,1190.0,2.0,67.0,2.0
2808,Chikkalasandra,1070.0,2.0,50.0,2.0
2810,Jalahalli East,1020.0,2.0,42.48,2.0
2811,Yelahanka,1610.0,3.0,115.0,3.0
2812,other,700.0,1.0,41.0,1.0
2813,other,1300.0,2.0,49.0,3.0
2816,Hebbal,1069.0,3.0,65.4,3.0
2817,Marathahalli,1900.0,3.0,123.0,3.0
2818,Old Airport Road,1655.0,2.0,97.65,2.0
